Magnetizacion = 0.684832    +- 0.006881
Energia Media = -0.732828    +- 0.141889
Calor especifico = 4.473917

Funcion de correlacion:
f(0) = 1.000000
f(1) = 0.732911
f(2) = 0.637121
f(3) = 0.590340
f(4) = 0.562742
f(5) = 0.544104
f(6) = 0.530677
f(7) = 0.520311
f(8) = 0.512512
f(9) = 0.506250
f(10) = 0.500839
f(11) = 0.496421
f(12) = 0.492756
f(13) = 0.489544
f(14) = 0.486856
f(15) = 0.484592
f(16) = 0.482528
f(17) = 0.481253
f(18) = 0.479657
f(19) = 0.478499
f(20) = 0.477673
f(21) = 0.476812
f(22) = 0.476480
f(23) = 0.475832
f(24) = 0.475095
f(25) = 0.474293
f(26) = 0.474143
f(27) = 0.474104
f(28) = 0.473573
f(29) = 0.472998
f(30) = 0.472761
f(31) = 0.472621
f(32) = 0.472476
f(33) = 0.472621
f(34) = 0.472761
f(35) = 0.472998
f(36) = 0.473573
f(37) = 0.474104
f(38) = 0.474143
f(39) = 0.474293
f(40) = 0.475095
f(41) = 0.475832
f(42) = 0.476480
f(43) = 0.476812
f(44) = 0.477673
f(45) = 0.478499
f(46) = 0.479657
f(47) = 0.481253
f(48) = 0.482528
f(49) = 0.484592
f(50) = 0.486856
f(51) = 0.489544
f(52) = 0.492756
f(53) = 0.496421
f(54) = 0.500839
f(55) = 0.506250
f(56) = 0.512512
f(57) = 0.520311
f(58) = 0.530677
f(59) = 0.544104
f(60) = 0.562742
f(61) = 0.590340
f(62) = 0.637121
f(63) = 0.732911
